客户编号,协议编号,产品编号,产品名称,用途代码,贷款用途,贷款金额,贷款币种,剩余本金,贷款利率,贷款期限,期限单位,担保方式,生效日期,到期日期,还款卡号,贷款机构,贷款状态
070508657164,070572898435,402,理财质押贷款,40202,个人经营,481000.00,156,481000.00,7.2,24,1,3,2018-01-13,2020-01-13,6229377802852986952,07058242,0
260237497654,260288489965,203,个人转按揭贷款,20301,他行转按揭,2761000.00,156,2761000.00,10.8,12,1,1,2018-05-25,2019-05-25,9400600959112883,26025538,0
181215515526,181270894595,701,个人经营贷款,70101,个人经营,853000.00,156,853000.00,8.4,12,1,3,2018-02-12,2019-02-12,377187146114145,18125354,0
160674603146,160636118060,701,个人经营贷款,70101,个人经营,182000.00,156,182000.00,12.0,18,1,3,2018-02-16,2019-08-16,6227750676421096,16068584,0
111081173042,111070424892,403,保单质押贷款,40302,个人经营,165000.00,156,165000.00,7.2,18,1,3,2018-05-25,2019-11-25,6230678269526036,11106593,0
061042038648,061086695570,301,居住型房屋抵押贷款,30101,个人消费,1554000.00,156,1554000.00,7.2,24,1,3,2018-03-08,2020-03-08,6222236127720273,06102300,0
400093884386,400076473204,102,个人消费贷款,10201,购买家用电器,25000.00,156,25000.00,9.6,3,1,0,2018-03-31,2018-06-30,6202072432316075,40001897,0
190846987079,190877888219,701,个人经营贷款,70101,个人经营,821000.00,156,821000.00,9.6,18,1,0,2018-05-01,2019-11-01,5183648019316987,19081227,0
300278143542,300253070097,402,理财质押贷款,40299,其他,233000.00,156,233000.00,12.0,12,1,0,2018-07-21,2019-07-21,62240689842250508,30021161,0
110744231104,110725254819,103,个人汽车消费贷款,10301,购买自用车,233000.00,156,233000.00,8.4,6,1,0,2018-04-12,2018-10-12,370248344324261,11070895,0
181215515526,181254466440,403,保单质押贷款,40302,个人经营,809000.00,156,809000.00,10.8,18,1,2,2018-07-28,2020-01-28,377187146114145,18123403,0
240534629298,240502510431,402,理财质押贷款,40201,个人消费,535000.00,156,535000.00,12.0,12,1,2,2018-03-29,2019-03-29,4367684279581862,24056333,0
260967518452,260956222389,502,信用卡专项分期,50201,个人消费,14000.00,156,14000.00,8.4,12,1,3,2018-03-30,2019-03-30,6216822039292334919,26099770,0
060651505074,060611467848,701,个人经营贷款,70101,个人经营,294000.00,156,294000.00,7.2,24,1,3,2018-03-08,2020-03-08,6245806755719095,06061232,0
171369213040,171306707836,401,存单质押贷款,40101,个人消费,214000.00,156,214000.00,7.2,12,1,2,2018-01-11,2019-01-11,6223285864514720413,17135165,0
060651505074,060636548291,403,保单质押贷款,40301,个人消费,729000.00,156,729000.00,8.4,6,1,1,2018-06-07,2018-12-07,6245806755719095,06061082,0
200411242919,200428477090,302,经营型房屋抵押贷款,30201,购买原材料,1923000.00,156,1923000.00,7.2,18,1,1,2018-03-31,2019-09-30,6216717846051503130,20043263,0
071360300506,071362664367,302,经营型房屋抵押贷款,30201,购买原材料,931000.00,156,931000.00,7.2,24,1,3,2018-06-30,2020-06-30,6229328128143994,07131139,0
261008116445,261059175351,601,互联网自营贷款,60101,个人消费,6000.00,156,6000.00,12.0,3,1,0,2018-01-18,2018-04-18,6224710798065612,26105712,0
410019763753,410034795122,401,存单质押贷款,40101,个人消费,470000.00,156,470000.00,7.2,24,1,3,2018-04-20,2020-04-20,6216270065405461759,41004303,0
181198107689,181116476063,102,个人消费贷款,10299,其他消费,34000.00,156,34000.00,12.0,6,1,0,2018-03-12,2018-09-12,6283989838581691,18114894,0
070508657164,070594711095,103,个人汽车消费贷款,10304,购买运营车(货物运输）,266000.00,156,266000.00,12.0,6,1,1,2018-04-10,2018-10-10,6229377802852986952,07056782,0
180419643080,180490906247,102,个人消费贷款,10299,其他消费,35000.00,156,35000.00,9.6,6,1,0,2018-05-03,2018-11-03,6259796437213414,18046848,0
261008116445,261039944410,203,个人转按揭贷款,20301,他行转按揭,1181000.00,156,1181000.00,7.2,24,1,1,2018-06-10,2020-06-10,6224710798065612,26104634,0
250858766372,250868772473,401,存单质押贷款,40102,个人经营,728000.00,156,728000.00,7.2,18,1,3,2018-07-05,2020-01-05,6214693362571132437,25083109,0
300629713794,300685254388,602,互联网合作贷款,60201,个人消费,17000.00,156,17000.00,12.0,12,1,3,2018-03-02,2019-03-02,4047381748780492,30069670,0
140699214946,140661354524,701,个人经营贷款,70101,个人经营,147000.00,156,147000.00,9.6,12,1,3,2018-06-17,2019-06-17,6212300772363085446,14066418,0
120639078431,120629593130,203,个人转按揭贷款,20301,他行转按揭,2538000.00,156,2538000.00,8.4,18,1,1,2018-04-17,2019-10-17,6282758128120069,12065396,0
230295323510,230230155932,102,个人消费贷款,10202,国内教育,9000.00,156,9000.00,7.2,18,1,2,2018-06-21,2019-12-21,6232060447868462956,23022600,0
121004815789,121002999906,201,个人住房按揭贷款,20101,购买新建住房,3109000.00,156,3109000.00,10.8,18,1,3,2018-07-03,2020-01-03,622267605910759013,12101974,0
290495500221,290423168637,402,理财质押贷款,40201,个人消费,908000.00,156,908000.00,7.2,24,1,3,2018-07-15,2020-07-15,6212521348540002,29042912,0
300574153511,300579790040,601,互联网自营贷款,60101,个人消费,22000.00,156,22000.00,7.2,24,1,0,2018-04-02,2020-04-02,6250240210855843,30058025,0
150912796537,150954547173,401,存单质押贷款,40101,个人消费,289000.00,156,289000.00,8.4,3,1,1,2018-05-28,2018-08-28,6222120700177681,15094038,0
260967518452,260980358574,701,个人经营贷款,70101,个人经营,836000.00,156,836000.00,7.2,24,1,1,2018-04-17,2020-04-17,6216822039292334919,26092409,0
151147066600,151198078034,203,个人转按揭贷款,20301,他行转按揭,4815000.00,156,4815000.00,12.0,18,1,3,2018-01-28,2019-07-28,5123154263690519,15112731,0
400093884386,400048788331,102,个人消费贷款,10204,国内医疗,13000.00,156,13000.00,12.0,12,1,1,2018-03-03,2019-03-03,6202072432316075,40004637,0
061018567569,061066953411,501,信用卡现金分期,50199,其他,50000.00,156,50000.00,7.2,18,1,2,2018-01-22,2019-07-22,6212233645747420731,06107847,0
150912796537,150918158644,303,自用车抵押贷款,30399,其他,63000.00,156,63000.00,8.4,18,1,2,2018-07-12,2020-01-12,6222120700177681,15092823,0
110260177622,110228246915,303,自用车抵押贷款,30301,个人消费,146000.00,156,146000.00,12.0,12,1,3,2018-07-14,2019-07-14,6259987208616592,11025592,0
160473486890,160462206448,301,居住型房屋抵押贷款,30101,个人消费,1510000.00,156,1510000.00,9.6,12,1,1,2018-06-06,2019-06-06,4563513729021855140,16047824,0
071387290335,071359662921,202,个人二手房按揭贷款,20201,购买二手住房,1266000.00,156,1266000.00,7.2,6,1,1,2018-02-07,2018-08-07,6227569043174463,07132483,0
200371150824,200327215841,502,信用卡专项分期,50201,个人消费,50000.00,156,50000.00,10.8,3,1,0,2018-02-25,2018-05-25,6250917475090212,20034098,0
071546222257,071533305921,301,居住型房屋抵押贷款,30199,其他,1212000.00,156,1212000.00,7.2,18,1,3,2018-07-01,2020-01-01,622013331016817194,07153239,0
040902419503,040983190133,203,个人转按揭贷款,20301,他行转按揭,844000.00,156,844000.00,8.4,24,1,1,2018-01-05,2020-01-05,621209160035802051,04090099,0
210727876754,210750537327,502,信用卡专项分期,50201,个人消费,99000.00,156,99000.00,8.4,12,1,2,2018-06-05,2019-06-05,6250339207609757,21073267,0
210727876754,210767813965,502,信用卡专项分期,50201,个人消费,45000.00,156,45000.00,10.8,12,1,2,2018-03-15,2019-03-15,6250339207609757,21077566,0
171369213040,171363045512,302,经营型房屋抵押贷款,30201,购买原材料,1475000.00,156,1475000.00,7.2,24,1,1,2018-02-01,2020-02-01,6223285864514720413,17137312,0
270331074215,270350115024,701,个人经营贷款,70101,个人经营,637000.00,156,637000.00,12.0,18,1,2,2018-07-15,2020-01-15,6223373333230240,27038136,0
210727876754,210759595096,103,个人汽车消费贷款,10303,购买运营车(乘客运输-非出租车）,258000.00,156,258000.00,9.6,12,1,1,2018-02-13,2019-02-13,6250339207609757,21079949,0
111081173042,111072592205,201,个人住房按揭贷款,20101,购买新建住房,3480000.00,156,3480000.00,10.8,3,1,0,2018-01-20,2018-04-20,6230678269526036,11102676,0
160218730350,160296060869,303,自用车抵押贷款,30301,个人消费,11000.00,156,11000.00,7.2,24,1,0,2018-07-25,2020-07-25,6213560036026418706,16020920,0
071387290335,071303490243,103,个人汽车消费贷款,10301,购买自用车,113000.00,156,113000.00,9.6,24,1,3,2018-02-25,2020-02-25,6227569043174463,07139373,0
071360300506,071365044605,403,保单质押贷款,40302,个人经营,155000.00,156,155000.00,7.2,3,1,3,2018-06-18,2018-09-18,6229328128143994,07136595,0
110260177622,110200744988,602,互联网合作贷款,60201,个人消费,34000.00,156,34000.00,10.8,6,1,2,2018-07-17,2019-01-17,6259987208616592,11021437,0
121004815789,121059317003,502,信用卡专项分期,50201,个人消费,37000.00,156,37000.00,9.6,12,1,0,2018-07-04,2019-07-04,622267605910759013,12101651,0
380380251078,380375864870,403,保单质押贷款,40301,个人消费,470000.00,156,470000.00,8.4,12,1,2,2018-06-10,2019-06-10,4792298476290246,38030996,0
070547043236,070543957394,601,互联网自营贷款,60101,个人消费,25000.00,156,25000.00,8.4,6,1,1,2018-02-12,2018-08-12,3568338304855432,07056420,0
050736908044,050775897873,501,信用卡现金分期,50199,其他,4000.00,156,4000.00,9.6,3,1,1,2018-01-25,2018-04-25,6223482085997391,05072884,0
260237497654,260298268889,401,存单质押贷款,40199,其他,671000.00,156,671000.00,8.4,24,1,3,2018-05-23,2020-05-23,9400600959112883,26024692,0
110260177622,110242156818,301,居住型房屋抵押贷款,30199,其他,1549000.00,156,1549000.00,7.2,3,1,1,2018-03-01,2018-06-01,6259987208616592,11020528,0
290205407569,290203555634,202,个人二手房按揭贷款,20201,购买二手住房,491000.00,156,491000.00,8.4,12,1,0,2018-01-20,2019-01-20,9400605248765946,29026960,0
390175657035,390191062356,501,信用卡现金分期,50199,其他,39000.00,156,39000.00,9.6,3,1,1,2018-05-29,2018-08-29,6214113906080433314,39014341,0
280691177604,280627779523,403,保单质押贷款,40301,个人消费,576000.00,156,576000.00,7.2,6,1,1,2018-02-21,2018-08-21,5566171753272289,28067644,0
071387290335,071360973845,203,个人转按揭贷款,20301,他行转按揭,2507000.00,156,2507000.00,7.2,6,1,3,2018-04-22,2018-10-22,6227569043174463,07137351,0
210727876754,210754499772,502,信用卡专项分期,50201,个人消费,23000.00,156,23000.00,12.0,3,1,1,2018-06-09,2018-09-09,6250339207609757,21072424,0
301028904369,301004510964,203,个人转按揭贷款,20301,他行转按揭,2723000.00,156,2723000.00,9.6,18,1,0,2018-07-18,2020-01-18,6230348112944873,30104966,0
271012275416,271008146079,302,经营型房屋抵押贷款,30201,购买原材料,240000.00,156,240000.00,8.4,6,1,1,2018-01-04,2018-07-04,6225493390645524,27100850,0
070508657164,070574183958,302,经营型房屋抵押贷款,30201,购买原材料,492000.00,156,492000.00,10.8,12,1,0,2018-07-27,2019-07-27,6229377802852986952,07056998,0
390196216841,390165645605,701,个人经营贷款,70101,个人经营,795000.00,156,795000.00,8.4,3,1,0,2018-02-28,2018-05-28,6259018666324550,39012058,0
160802458289,160841281849,602,互联网合作贷款,60201,个人消费,45000.00,156,45000.00,8.4,18,1,0,2018-07-10,2020-01-10,6229546683700458,16082297,0
040943356020,040912569461,302,经营型房屋抵押贷款,30201,购买原材料,1825000.00,156,1825000.00,8.4,6,1,1,2018-06-05,2018-12-05,370249710373338,04094290,0
121010359117,121088293818,502,信用卡专项分期,50201,个人消费,85000.00,156,85000.00,12.0,3,1,3,2018-05-05,2018-08-05,6226444516785119813,12100890,0
061018567569,061078278845,102,个人消费贷款,10204,国内医疗,18000.00,156,18000.00,7.2,6,1,1,2018-05-22,2018-11-22,6212233645747420731,06109270,0
131785929368,131786689670,401,存单质押贷款,40101,个人消费,572000.00,156,572000.00,12.0,18,1,2,2018-02-09,2019-08-09,6229335089455610632,13178148,0
071360300506,071368980926,201,个人住房按揭贷款,20101,购买新建住房,3899000.00,156,3899000.00,10.8,3,1,0,2018-05-17,2018-08-17,6229328128143994,07132710,0
160674603146,160608407400,103,个人汽车消费贷款,10302,购买运营车(乘客运输-出租车）,75000.00,156,75000.00,10.8,6,1,2,2018-02-10,2018-08-10,6227750676421096,16062071,0
200939454535,200930102914,201,个人住房按揭贷款,20101,购买新建住房,4828000.00,156,4828000.00,12.0,12,1,1,2018-04-30,2019-04-30,6213517031912440,20094808,0
270331074215,270314607749,302,经营型房屋抵押贷款,30201,购买原材料,370000.00,156,370000.00,8.4,3,1,0,2018-02-06,2018-05-06,6223373333230240,27036230,0
230295323510,230251423573,502,信用卡专项分期,50201,个人消费,96000.00,156,96000.00,7.2,12,1,3,2018-01-30,2019-01-30,6232060447868462956,23023683,0
071546222257,071578943519,701,个人经营贷款,70101,个人经营,495000.00,156,495000.00,12.0,6,1,3,2018-03-24,2018-09-24,622013331016817194,07153227,0
160802458289,160845158164,403,保单质押贷款,40302,个人经营,984000.00,156,984000.00,7.2,3,1,1,2018-03-30,2018-06-30,6229546683700458,16083538,0
200411242919,200420586830,301,居住型房屋抵押贷款,30101,个人消费,334000.00,156,334000.00,9.6,3,1,1,2018-06-18,2018-09-18,6216717846051503130,20045202,0
070636844264,070690734176,303,自用车抵押贷款,30399,其他,97000.00,156,97000.00,12.0,6,1,0,2018-05-05,2018-11-05,622502415288409885,07067325,0
410004673971,410073384471,701,个人经营贷款,70101,个人经营,461000.00,156,461000.00,7.2,18,1,2,2018-02-10,2019-08-10,6251310896415011,41004366,0
110260177622,110256797219,103,个人汽车消费贷款,10304,购买运营车(货物运输）,236000.00,156,236000.00,7.2,24,1,0,2018-02-25,2020-02-25,6259987208616592,11023621,0
270849642125,270846121210,302,经营型房屋抵押贷款,30201,购买原材料,1166000.00,156,1166000.00,12.0,18,1,2,2018-05-13,2019-11-13,6217537113408230982,27084585,0
171369213040,171365010578,202,个人二手房按揭贷款,20201,购买二手住房,1150000.00,156,1150000.00,7.2,3,1,0,2018-02-05,2018-05-05,6223285864514720413,17134980,0
181198107689,181190927205,102,个人消费贷款,10202,国内教育,47000.00,156,47000.00,12.0,24,1,1,2018-06-13,2020-06-13,6283989838581691,18114773,0
181198107689,181127873579,601,互联网自营贷款,60101,个人消费,22000.00,156,22000.00,10.8,6,1,0,2018-03-15,2018-09-15,6283989838581691,18115164,0
250858766372,250828734389,501,信用卡现金分期,50199,其他,24000.00,156,24000.00,8.4,6,1,0,2018-01-30,2018-07-30,6214693362571132437,25089147,0
260967518452,260936243226,301,居住型房屋抵押贷款,30101,个人消费,106000.00,156,106000.00,9.6,18,1,3,2018-07-01,2020-01-01,6216822039292334919,26098746,0
151147066600,151198392157,201,个人住房按揭贷款,20101,购买新建住房,4880000.00,156,4880000.00,12.0,18,1,2,2018-04-13,2019-10-13,5123154263690519,15114776,0
270580803839,270573586299,203,个人转按揭贷款,20301,他行转按揭,3103000.00,156,3103000.00,12.0,6,1,3,2018-07-19,2019-01-19,4392262573529512,27055711,0
040943356020,040910490358,403,保单质押贷款,40302,个人经营,997000.00,156,997000.00,8.4,12,1,1,2018-05-14,2019-05-14,370249710373338,04097563,0
071546222257,071583840928,402,理财质押贷款,40202,个人经营,438000.00,156,438000.00,8.4,3,1,0,2018-04-15,2018-07-15,622013331016817194,07159417,0
270313968192,270321166547,102,个人消费贷款,10205,出国医疗,31000.00,156,31000.00,7.2,3,1,0,2018-07-18,2018-10-18,5456205560873989,27039360,0
270849642125,270828307813,601,互联网自营贷款,60101,个人消费,12000.00,156,12000.00,10.8,6,1,1,2018-06-29,2018-12-29,6217537113408230982,27080156,0
151147066600,151194311266,502,信用卡专项分期,50201,个人消费,27000.00,156,27000.00,9.6,24,1,2,2018-06-27,2020-06-27,5123154263690519,15119511,0
160218730350,160280171728,102,个人消费贷款,10201,购买家用电器,17000.00,156,17000.00,12.0,6,1,1,2018-01-29,2018-07-29,6213560036026418706,16027847,0
180577602987,180597398941,202,个人二手房按揭贷款,20201,购买二手住房,2454000.00,156,2454000.00,9.6,3,1,0,2018-07-04,2018-10-04,9688073270388587,18052995,0
120639078431,120697766719,103,个人汽车消费贷款,10304,购买运营车(货物运输）,76000.00,156,76000.00,10.8,6,1,3,2018-04-23,2018-10-23,6282758128120069,12061192,0
181198107689,181106003939,701,个人经营贷款,70101,个人经营,967000.00,156,967000.00,7.2,3,1,3,2018-07-11,2018-10-11,6283989838581691,18111552,0
180577602987,180586070999,202,个人二手房按揭贷款,20201,购买二手住房,171000.00,156,171000.00,8.4,12,1,1,2018-01-15,2019-01-15,9688073270388587,18050393,0
390175657035,390173344258,402,理财质押贷款,40202,个人经营,180000.00,156,180000.00,7.2,6,1,1,2018-05-01,2018-11-01,6214113906080433314,39015248,0
251032865515,251044900066,403,保单质押贷款,40302,个人经营,835000.00,156,835000.00,9.6,3,1,0,2018-02-22,2018-05-22,6200488959990211,25104766,0
240223094592,240225099498,402,理财质押贷款,40202,个人经营,322000.00,156,322000.00,9.6,6,1,3,2018-06-28,2018-12-28,6221645407652793,24024977,0
111556900967,111578876436,602,互联网合作贷款,60201,个人消费,8000.00,156,8000.00,9.6,12,1,3,2018-01-12,2019-01-12,62293957260709065,11156546,0
111556900967,111565803108,303,自用车抵押贷款,30399,其他,102000.00,156,102000.00,12.0,3,1,1,2018-03-03,2018-06-03,62293957260709065,11153751,0
160802458289,160898175798,102,个人消费贷款,10299,其他消费,13000.00,156,13000.00,9.6,6,1,0,2018-07-06,2019-01-06,6229546683700458,16088307,0
071360300506,071328835816,403,保单质押贷款,40399,其他,839000.00,156,839000.00,9.6,6,1,1,2018-07-11,2019-01-11,6229328128143994,07130684,0
071360300506,071363214457,202,个人二手房按揭贷款,20201,购买二手住房,2761000.00,156,2761000.00,12.0,24,1,3,2018-06-16,2020-06-16,6229328128143994,07130924,0
181215515526,181233951630,502,信用卡专项分期,50201,个人消费,26000.00,156,26000.00,7.2,6,1,3,2018-02-15,2018-08-15,377187146114145,18126586,0
110260177622,110233132520,401,存单质押贷款,40102,个人经营,249000.00,156,249000.00,12.0,24,1,3,2018-03-06,2020-03-06,6259987208616592,11027403,0
